"filename", "language", "HTML", "TypeScript", "JSON", "JSON with Comments", "Markdown", "TypeScript JSX", "CSS", "XML", "JavaScript", "comment", "blank", "total"
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Object_Button_Swipe.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 86, 0, 0, 0, 8, 37, 131
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Object_Item_Image.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 55, 0, 0, 0, 5, 37, 97
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Object_Item_ModalShadow.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 3, 19, 49
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Object_Item_Modal_Alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 54, 140
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Object_Item_Modal_Popup.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 53, 146
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Object_Item_Modal_Slide.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 54, 146
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Object_Item_NavBarSpacer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 11, 29
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Object_Item_NavMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 114, 0, 0, 0, 4, 42, 160
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Object_Item_NavOptionsMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 199, 0, 0, 0, 1, 61, 261
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\Page_Components\Object_Item_Text.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 339, 0, 0, 0, 22, 112, 473
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\PatientDataGetter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 68, 0, 0, 0, 7, 9, 84
"c:\Users\Eddie\Desktop\Work Stuff\OSF STUFF\react-stuff\osf-scrubbed-in\src\Components\PatientDataSender.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 43, 0, 0, 0, 2, 3, 48
